"","fixed.acidity","volatile.acidity","citric.acid","residual.sugar","chlorides","free.sulfur.dioxide","total.sulfur.dioxide","density","pH","sulphates","alcohol","quality"
"3452",6.6,0.21,0.29,5.35,0.029,43,106,0.99112,2.93,0.43,11.5,7
"620",7.4,0.19,0.3,1.4,0.057,33,135,0.993,3.12,0.5,9.6,6
"528",6.1,0.28,0.22,1.8,0.034,32,116,0.9898,3.36,0.44,12.6,6
"3480",5.9,0.32,0.28,4.7,0.039,34,94,0.98964,3.22,0.57,13.1,7
"3202",7.9,0.34,0.44,6.5,0.027,47,126,0.99124,2.96,0.37,12.5,6
"3549",6.2,0.47,0.19,8.3,0.029,24,142,0.992,3.22,0.45,12.3,6
"1975",7.5,0.26,0.26,18.35,0.084,33,139,1.0011,3.17,0.39,8.8,5
"4104",5.7,0.31,0.28,4.1,0.03,22,86,0.99062,3.31,0.38,11.7,7
"3916",4.7,0.455,0.18,1.9,0.036,33,106,0.98746,3.21,0.83,14,7
"314",5.7,0.36,0.21,6.7,0.038,51,166,0.9941,3.29,0.63,10,6
"1747",7.5,0.22,0.29,4.8,0.05,33,87,0.994,3.14,0.42,9.9,5
"210",6.1,0.4,0.31,0.9,0.048,23,170,0.993,3.22,0.77,9.5,6
"2546",7.2,0.22,0.24,1.4,0.041,17,159,0.99196,3.25,0.53,11.2,6
"387",5,0.17,0.56,1.5,0.026,24,115,0.9906,3.48,0.39,10.8,7
"1880",7.2,0.2,0.61,16.2,0.043,14,103,0.9987,3.06,0.36,9.2,6
"2719",5.2,0.28,0.29,1.1,0.028,18,69,0.99168,3.24,0.54,10,6
"3710",6.7,0.31,0.09,1.4,0.039,53,141,0.99206,3.12,0.44,10.1,5
"2533",6.7,0.54,0.27,7.1,0.049,8,178,0.99502,3.16,0.38,9.4,4
"4771",6.8,0.27,0.3,13,0.047,69,160,0.99705,3.16,0.5,9.6,6
"2075",6.6,0.22,0.28,4.9,0.042,51,180,0.9952,3.3,0.75,9.5,6
"757",5.8,0.25,0.28,11.1,0.056,45,175,0.99755,3.42,0.43,9.5,5
"637",6.2,0.17,0.28,4.7,0.037,39,133,0.9931,3.41,0.46,10.8,7
"2148",6.4,0.29,0.2,15.6,0.04,20,142,0.9962,3.1,0.54,10.6,5
"1968",8,0.23,0.35,9.2,0.044,53,186,0.997,3.09,0.56,9.5,7
"4015",6.5,0.18,0.48,18,0.054,56,183,1.00038,2.98,0.61,8.5,6
"523",6.9,0.25,0.4,1.3,0.038,22,101,0.9901,3.03,0.39,11.4,6
"2149",7.1,0.33,0.64,13.2,0.056,12,105,0.9972,3.05,0.39,9.2,5
"256",6.7,0.26,0.39,1.1,0.04,45,147,0.9935,3.32,0.58,9.6,8
"4482",6.4,0.32,0.26,7.9,0.05,53,180,0.99514,3.14,0.5,9.6,5
"3144",5.5,0.19,0.27,0.9,0.04,52,103,0.99026,3.5,0.39,11.2,5
"3121",6.2,0.25,0.42,8,0.049,53,206,0.99586,3.16,0.47,9.1,6
"4292",7.2,0.21,0.36,15.7,0.045,68,183,0.99922,3.25,0.76,9.4,5
"1613",7.8,0.26,0.49,3.2,0.027,28,87,0.9919,3.03,0.32,11.3,7
"3840",6.2,0.31,0.23,3.3,0.052,34,113,0.99429,3.16,0.48,8.4,5
"3004",7.2,0.19,0.31,6.3,0.034,17,103,0.99305,3.15,0.52,11.4,7
"3067",7.4,0.21,0.8,12.3,0.038,77,183,0.99778,2.95,0.48,9,5
"4611",5.9,0.44,0.36,2.5,0.03,12,73,0.99201,3.22,0.48,10.8,6
"2379",9.4,0.23,0.56,16.45,0.063,52.5,282,1.00098,3.1,0.51,9.3,5
"468",6.8,0.32,0.21,2.2,0.044,15,68,0.9932,3.17,0.39,9.4,6
"2198",7.3,0.18,0.29,1,0.036,26,101,0.99,3.09,0.37,11.7,6
"1476",7.2,0.08,0.49,1.3,0.05,18,148,0.9945,3.46,0.44,10.2,6
"2249",7.4,0.2,0.29,1.7,0.047,16,100,0.99243,3.28,0.45,10.6,6
"108",7.1,0.23,0.35,16.5,0.04,60,171,0.999,3.16,0.59,9.1,6
"3445",6.7,0.3,0.44,18.75,0.057,65,224,0.99956,3.11,0.53,9.1,5
"407",5.8,0.28,0.34,4,0.031,40,99,0.9896,3.39,0.39,12.8,7
"3873",7.3,0.36,0.54,13.3,0.054,63,193,0.99864,3.06,0.49,8.6,4
"4861",6,0.52,0.33,7.7,0.046,24,119,0.99224,3.04,0.38,11,6
"1443",8,0.25,0.49,1.2,0.061,27,117,0.9938,3.08,0.34,9.4,5
"4551",6.8,0.23,0.33,1.9,0.047,20,101,0.9914,3.1,0.46,11.1,6
"4569",6.4,0.3,0.27,4.4,0.055,17,135,0.9925,3.23,0.44,12.2,6
"2524",8.2,0.2,0.38,3.5,0.053,41,174,0.99306,3.22,0.41,11.6,5
"2342",7.2,0.34,0.3,8.4,0.051,40,167,0.99756,3.48,0.62,9.7,5
"3186",6.5,0.21,0.4,7.3,0.041,49,115,0.99268,3.21,0.43,11,6
"2397",8.4,0.3,0.25,17.75,0.047,25,218,1.00016,2.98,0.66,9.1,5
"4193",6.7,0.2,0.24,6.5,0.044,28,100,0.99348,3.12,0.33,10.2,6
"4313",6.9,0.26,0.29,4.2,0.043,33,114,0.9902,3.16,0.31,12.5,6
"4622",7.5,0.305,0.38,1.4,0.047,30,95,0.99158,3.22,0.52,11.5,7
"2707",7.5,0.28,0.39,10.2,0.045,59,209,0.9972,3.16,0.63,9.6,6
"1325",6.9,0.16,0.35,1.3,0.043,21,182,0.9927,3.25,0.62,10.8,6
"4557",6.1,0.2,0.4,1.9,0.028,32,138,0.9914,3.26,0.72,11.7,5
"911",6.3,0.33,0.2,5.8,0.04,24,144,0.99425,3.15,0.63,9.9,5
"1378",6.9,0.28,0.41,1.7,0.05,10,136,0.993,3.16,0.71,11.4,6
"3118",6.5,0.23,0.39,1.9,0.036,41,98,0.99,3.19,0.43,11.9,7
"2499",6.8,0.21,0.36,18.1,0.046,32,133,1,3.27,0.48,8.8,5
"2050",6.3,0.28,0.24,8.45,0.031,32,172,0.9958,3.39,0.57,9.7,7
"3101",6.7,0.14,0.51,4.3,0.028,57,124,0.99176,2.91,0.54,10.7,7
"729",6.4,0.16,0.31,5.3,0.043,42,157,0.99455,3.35,0.47,10.5,5
"2946",4.9,0.33,0.31,1.2,0.016,39,150,0.98713,3.33,0.59,14,8
"830",7.1,0.16,0.36,1.2,0.043,21,90,0.9925,3.16,0.42,11,7
"2945",7.1,0.29,0.34,7.8,0.036,49,128,0.99397,3.21,0.4,10.7,6
"3048",7.7,0.18,0.53,1.2,0.041,42,167,0.9908,3.11,0.44,11.9,5
"3531",7.2,0.31,0.35,7.2,0.046,45,178,0.9955,3.14,0.53,9.7,5
"3976",6.1,0.24,0.26,1.7,0.033,61,134,0.9903,3.19,0.81,11.9,7
"304",6,0.29,0.21,1.3,0.055,42,168,0.9914,3.32,0.43,11.1,6
"2842",5.5,0.375,0.38,1.7,0.036,17,98,0.99142,3.29,0.39,10.5,6
"875",7.7,0.15,0.29,1.3,0.029,10,64,0.9932,3.35,0.39,10.1,5
"2349",8.3,0.26,0.31,2,0.029,14,141,0.99077,2.95,0.77,12.2,6
"2714",6.8,0.23,0.42,7.4,0.044,56,189,0.9958,3.22,0.48,9.3,6
"1836",8,0.55,0.42,12.6,0.211,37,213,0.9988,2.99,0.56,9.3,5
"4401",7.4,0.27,0.26,11.8,0.053,55,173,0.99699,3.11,0.6,9.8,5
"2694",6.7,0.23,0.25,1.6,0.036,28,143,0.99256,3.3,0.54,10.3,6
"1035",7.9,0.64,0.46,10.6,0.244,33,227,0.9983,2.87,0.74,9.1,3
"3662",6.7,0.22,0.39,1.2,0.049,26,152,0.99346,3.5,0.47,10,6
"2169",7.4,0.19,0.3,12.8,0.053,48.5,229,0.9986,3.14,0.49,9.1,7
"2689",7.2,0.19,0.27,11.2,0.061,46,149,0.99772,2.99,0.59,9.3,6
"1971",8.3,0.49,0.43,2.5,0.036,32,116,0.9944,3.23,0.47,10.7,6
"1799",6.8,0.23,0.29,15.4,0.073,56,173,0.9984,3.06,0.41,8.7,6
"1085",6.3,0.23,0.21,5.1,0.035,29,142,0.9942,3.36,0.33,10.1,7
"1247",8,0.2,0.4,5.2,0.055,41,167,0.9953,3.18,0.4,10.6,7
"2060",5.7,0.46,0.46,1.4,0.04,31,169,0.9932,3.13,0.47,8.8,5
"3932",6.2,0.3,0.28,1.6,0.036,28,106,0.988245,3.14,0.41,13.3,6
"602",7.2,0.24,0.4,1.4,0.045,31,106,0.9914,2.88,0.38,10.8,6
"2792",6.6,0.25,0.51,8,0.047,61,189,0.99604,3.22,0.49,9.2,5
"4508",5.1,0.305,0.13,1.75,0.036,17,73,0.99,3.4,0.51,12.3333333333333,5
"928",6.7,0.25,0.33,2.9,0.057,52,173,0.9934,3.02,0.48,9.5,7
"2385",6.9,0.15,0.28,4.4,0.029,14,107,0.99347,3.24,0.46,10.4,8
"2175",7.4,0.19,0.3,12.8,0.053,48.5,229,0.9986,3.14,0.49,9.1,7
"1338",6.7,0.18,0.3,6.4,0.048,40,251,0.9956,3.29,0.52,10,5
"3371",6,0.29,0.25,1.4,0.033,30,114,0.98794,3.08,0.43,13.2,6
"3324",7.1,0.17,0.31,1.6,0.037,15,103,0.991,3.14,0.5,12,6
"1342",7.6,0.54,0.23,2,0.029,13,151,0.9931,3.04,0.33,10.4,5
"2354",7,0.18,0.26,1.4,0.044,46,89,0.99256,3.39,0.48,10.7,7
"1179",9.8,0.44,0.4,2.8,0.036,35,167,0.9956,2.97,0.39,9.2,5
"3115",6.3,0.17,0.32,4.2,0.04,37,117,0.99182,3.24,0.43,11.3,6
"2520",6.3,0.24,0.55,8.1,0.04,67,216,0.99596,3.24,0.5,9.2,5
"2666",8.3,0.4,0.41,8.2,0.05,15,122,0.9979,3.39,0.49,9.3,5
"3492",8,0.2,0.44,1,0.057,24,111,0.99158,3.09,0.32,11.2,6
"4038",7.3,0.34,0.22,1.4,0.044,43,176,0.99286,3.14,0.46,9.9,5
"1339",6.7,0.18,0.3,6.4,0.048,40,251,0.9956,3.29,0.52,10,5
"1674",6.6,0.27,0.31,5.3,0.137,35,163,0.9951,3.2,0.38,9.3,5
"4614",5.8,0.27,0.2,7.3,0.04,42,145,0.99442,3.15,0.48,9.8,5
"3377",6.6,0.18,0.28,1.7,0.041,53,161,0.99207,3.13,0.45,10.2,6
"4351",7,0.36,0.25,5.7,0.015,14,73,0.98963,2.82,0.59,13.2,6
"3490",6.7,0.28,0.31,7.4,0.041,7,81,0.99254,3.04,0.47,11.4,8
"4612",5.9,0.42,0.36,2.4,0.034,19,77,0.99184,3.25,0.48,10.9,5
"2245",7,0.36,0.14,11.6,0.043,35,228,0.9977,3.13,0.51,8.9,5
"613",7.5,0.23,0.68,11,0.047,37,133,0.9978,2.99,0.38,8.8,5
"2306",7,0.36,0.3,5,0.04,40,143,0.99173,3.33,0.42,12.2,7
"841",7.6,0.33,0.35,6.3,0.036,12,126,0.9924,3.16,0.39,12,7
"2243",6.1,0.23,0.45,10.6,0.094,49,169,0.99699,3.05,0.54,8.8,5
"1561",7.8,0.3,0.74,1.8,0.033,33,156,0.991,3.29,0.52,12.8,6
"2283",7.4,0.33,0.26,15.6,0.049,67,210,0.99907,3.06,0.68,9.5,5
"4403",6.8,0.43,0.26,5.2,0.043,40,176,0.99116,3.17,0.41,12.3,6
"4809",7.3,0.35,0.67,8.3,0.053,10,100,0.9959,3.19,0.5,10.9,5
"2866",5.6,0.19,0.46,1.1,0.032,33,115,0.9909,3.36,0.5,10.4,6
"1870",8.2,0.18,0.28,8.5,0.035,41,140,0.9952,3.04,0.37,10.1,7
"963",7.3,0.24,0.34,15.4,0.05,38,174,0.9983,3.03,0.42,9,6
"2861",7.3,0.21,0.33,1,0.037,66,144,0.9923,3.11,0.52,10.2,6
"3553",5.7,0.22,0.22,16.65,0.044,39,110,0.99855,3.24,0.48,9,6
"4116",7.3,0.26,0.32,1.2,0.041,29,94,0.98978,3.07,0.45,12,6
"1003",6.4,0.28,0.43,7.1,0.045,60,221,0.9952,3.09,0.45,9.4,6
"4302",7.2,0.34,0.23,8.9,0.105,22,155,0.99692,3.01,0.58,9.5,5
"2660",7.1,0.15,0.34,1,0.033,27,73,0.98974,3.24,0.41,12.2,6
"2257",7.1,0.14,0.35,1.4,0.039,24,128,0.99212,2.97,0.68,10.4,5
"3506",6,0.2,0.32,3,0.031,26,118,0.99134,3.38,0.68,11.2,7
"1437",8.5,0.56,0.74,17.85,0.051,51,243,1.0005,2.99,0.7,9.2,5
"866",6.1,0.27,0.33,2.2,0.021,26,117,0.9886,3.12,0.3,12.5,6
"4480",6,0.555,0.26,4.5,0.053,17,126,0.9943,3.24,0.46,9.1,5
"617",7.8,0.32,0.33,2.4,0.037,18,101,0.9912,3.21,0.65,11.7,7
"2057",6.8,0.21,0.27,18.15,0.042,41,146,1.0001,3.3,0.36,8.7,5
"2082",7.5,0.42,0.14,10.7,0.046,18,95,0.9959,3.22,0.33,10.7,5
"1029",7,0.24,0.35,1.5,0.052,51,128,0.9941,3.41,0.59,10.4,7
"1900",6.7,0.44,0.31,1.9,0.03,41,104,0.99,3.29,0.62,12.6,7
"2163",9.9,0.49,0.23,2.4,0.087,19,115,0.9948,2.77,0.44,9.4,6
"3708",6.7,0.34,0.43,1.6,0.041,29,114,0.99014,3.23,0.44,12.6,6
"3462",6.7,0.24,0.3,3.85,0.042,105,179,0.99189,3.04,0.59,11.3,8
"2670",6.8,0.26,0.4,7.5,0.046,45,179,0.99583,3.2,0.49,9.3,5
"2415",6.2,0.38,0.18,7.4,0.095,28,195,0.99773,3.53,0.71,9.2,4
"1098",6.3,0.23,0.21,5.1,0.035,29,142,0.9942,3.36,0.33,10.1,7
"1661",6.6,0.27,0.49,7.8,0.049,62,217,0.9959,3.17,0.45,9.4,6
"47",6.2,0.45,0.26,4.4,0.063,63,206,0.994,3.27,0.52,9.8,4
"3958",7.7,0.31,0.36,4.3,0.026,15,87,0.99152,3.11,0.48,12,5
"3351",7.2,0.22,0.28,7.2,0.06,41,132,0.9935,3.08,0.59,11.3,6
"3352",6,0.22,0.28,1.1,0.034,47,90,0.98862,3.22,0.38,12.6,6
"1154",5.3,0.395,0.07,1.3,0.035,26,102,0.992,3.5,0.35,10.6,6
"2055",8.6,0.485,0.29,4.1,0.026,19,101,0.9918,3.01,0.38,12.4,5
"2137",7.9,0.18,0.36,5.9,0.058,31,132,0.995,3.25,0.52,10.9,6
"779",6.9,0.22,0.37,15,0.053,59,178,0.9992,3.37,0.82,9.5,7
"240",6.2,0.25,0.21,15.55,0.039,28,159,0.9982,3.48,0.64,9.6,6
"4580",6,0.2,0.26,14.7,0.045,53,125,0.998365,2.99,0.69,9.4,6
"4851",7,0.36,0.35,2.5,0.048,67,161,0.99146,3.05,0.56,11.1,6
"2162",6.8,0.37,0.28,4,0.03,29,79,0.99,3.23,0.46,12.4,7
"2550",7.5,0.2,0.47,16.9,0.052,51,188,0.99944,3.09,0.62,9.3,5
"1331",8.3,0.21,0.41,2.2,0.05,24,108,0.994,2.85,0.45,9.5,5
"2649",6.6,0.23,0.29,14.45,0.057,29,144,0.99756,3.33,0.54,10.2,6
"2232",6.9,0.25,0.35,9.2,0.034,42,150,0.9947,3.21,0.36,11.5,6
"2630",5.8,0.6,0,1.3,0.044,72,197,0.99202,3.56,0.43,10.9,5
"3161",6.5,0.34,0.46,1,0.023,6,80,0.98865,3.15,0.54,12.9,6
"2200",6.6,0.25,0.42,11.3,0.049,77,231,0.9966,3.24,0.52,9.5,6
"1904",7.8,0.34,0.27,1.2,0.04,25,106,0.9932,3.01,0.55,10.4,5
"4489",6.7,0.48,0.49,2.9,0.03,28,122,0.98926,3.13,0.4,13,6
"1146",6.8,0.32,0.18,7.5,0.041,71,223,0.9959,3.14,0.41,8.9,5
"2190",7.1,0.18,0.32,12.2,0.048,36,125,0.9967,2.92,0.54,9.4,6
"3212",8.2,0.3,0.44,12.4,0.043,52,154,0.99452,3.04,0.33,12,6
"415",7.2,0.25,0.39,18.95,0.038,42,155,0.9999,2.97,0.47,9,6
"623",5.3,0.32,0.12,6.6,0.043,22,141,0.9937,3.36,0.6,10.4,6
"332",6.8,0.24,0.34,4.6,0.032,37,135,0.9927,3.2,0.39,10.6,5
"2112",6.5,0.22,0.25,17.1,0.05,44,138,1.0001,3.3,0.37,8.8,5
"4529",6.4,0.37,0.19,3.5,0.068,18,101,0.9934,3.03,0.38,9,6
"4845",4.8,0.29,0.23,1.1,0.044,38,180,0.98924,3.28,0.34,11.9,6
"1326",7.7,0.32,0.48,2.3,0.04,28,114,0.9911,3.2,0.52,12.8,7
"2855",6.4,0.21,0.28,5.9,0.047,29,101,0.99278,3.15,0.4,11,6
"572",6.5,0.28,0.29,2.7,0.038,26,107,0.9912,3.32,0.41,11.6,7
"719",6.2,0.21,0.27,1.7,0.038,41,150,0.9933,3.49,0.71,10.5,7
"3770",6.9,0.4,0.17,12.9,0.033,59,186,0.99754,3.08,0.49,9.4,5
"3933",6.9,0.22,0.28,7.8,0.05,43,116,0.99326,3.22,0.6,11.5,8
"4822",7,0.24,0.47,1.3,0.043,18,131,0.99176,3.19,0.45,11,6
"4222",6.3,0.28,0.34,8.1,0.038,44,129,0.99248,3.26,0.29,12.1,6
"2446",6.6,0.34,0.34,2.6,0.051,40.5,210,0.99314,3.15,0.61,10,5
"1987",7.6,0.16,0.41,1.9,0.047,27,151,0.9937,3.2,0.53,10.1,6
"4214",6.5,0.38,0.53,1.4,0.142,5,69,0.9926,3.14,0.52,10.1,4
"721",6.6,0.29,0.44,9,0.053,62,178,0.99685,3.02,0.45,8.9,5
"2773",6.2,0.29,0.32,3.6,0.026,39,138,0.9892,3.31,0.37,13.1,7
"1931",9.2,0.27,0.34,10.5,0.043,49,228,0.9974,3.04,0.41,10.4,6
"442",6.1,0.38,0.2,6.6,0.033,25,137,0.9938,3.3,0.69,10.4,6
"1550",8.5,0.15,0.49,1.5,0.031,17,122,0.9932,3.03,0.4,10.3,6
"2840",5.8,0.22,0.29,0.9,0.034,34,89,0.98936,3.14,0.36,11.1,7
"3417",7.2,0.37,0.4,11.6,0.032,34,214,0.9963,3.1,0.51,9.8,6
"3991",7.3,0.23,0.41,14.6,0.048,73,223,0.99863,3.16,0.71,9.4,6
"1838",7.2,0.24,0.29,2.2,0.037,37,102,0.992,3.27,0.64,11,7
"665",7.1,0.17,0.38,7.4,0.052,49,182,0.9958,3.35,0.52,9.6,6
"1746",6.1,0.34,0.31,12,0.053,46,238,0.9977,3.16,0.48,8.6,5
"4519",9,0.2,0.33,3.5,0.049,10,40,0.9944,3.14,0.36,9.8,6
"1464",8.3,0.19,0.49,1.2,0.051,11,137,0.9918,3.06,0.46,11,6
"2092",7.2,0.24,0.19,7.7,0.045,53,176,0.9958,3.17,0.38,9.5,5
"1459",7.1,0.22,0.74,2.7,0.044,42,144,0.991,3.31,0.41,12.2,6
"3817",6.8,0.41,0.3,8.8,0.045,28,131,0.9953,3.12,0.59,9.9,5
"1489",6.5,0.26,0.74,13.3,0.044,68,224,0.9972,3.18,0.54,9.5,6
"436",6.9,0.2,0.37,6.2,0.027,24,97,0.992,3.38,0.49,12.2,7
"2651",7,0.34,0.39,6.9,0.066,43,162,0.99561,3.11,0.53,9.5,5
"2251",9.2,0.34,0.54,17.3,0.06,46,235,1.00182,3.08,0.61,8.8,6
"4521",5.8,0.31,0.31,7.5,0.052,55,230,0.9949,3.19,0.46,9.8,5
"1569",7.4,0.3,0.49,8.2,0.055,49,188,0.9974,3.52,0.58,9.7,6
"4860",6,0.43,0.34,7.6,0.045,25,118,0.99222,3.03,0.37,11,6
"3935",7.3,0.27,0.3,1.3,0.04,26,84,0.99222,3.28,0.53,10.7,6
